index,GPP_SNR,GPP_beta,Gc_SNR,Gc_beta,iWUE_SNR,iWUE_beta,Cover_type,PFT_ID,Gc_cluster,GPP_cluster,new_ID
CA-Cbo,1.128657138,0.443619496,-1.351867028,-0.536118755,1.143362749,0.633617834,DBF,0,detectable,detectable,1
FR-Fon,1.20970018,0.441698165,-3.372550712,-1.614601141,3.765876136,1.626460057,DBF,0,detectable,detectable,1
US-Syv,2.82881625,1.932244816,-2.335212613,-0.637608861,2.446141397,1.319676569,DBF,0,detectable,detectable,1
BE-Bra,1.415001223,0.24531435,-1.970952794,-0.499537572,2.14272763,0.665167606,ENF,1,detectable,detectable,1
CA-TP3,2.442618506,1.01756757,-3.461301013,-1.547047966,2.937724288,1.704860539,ENF,1,detectable,detectable,1
CA-TP4,1.016808349,0.392380643,-1.791793573,-1.134978456,1.746918265,0.810780877,ENF,1,detectable,detectable,1
CH-Dav,1.038925049,0.223024414,-4.666697401,-1.666261735,2.319700996,0.811556639,ENF,1,detectable,detectable,1
FI-Hyy,1.082501042,0.271719496,-2.69698145,-0.601622111,1.393291594,0.414963188,ENF,1,detectable,detectable,1
US-Ho1,2.108291587,0.715500397,-3.195733191,-1.48715306,4.882643229,2.27790469,ENF,1,detectable,detectable,1
AU-DaS,2.892614526,0.934145747,-1.205115094,-0.486339136,1.858364858,1.240962138,EBF,2,detectable,detectable,1
AU-Dry,1.530462602,0.552828757,-2.329503223,-1.149414923,2.305946246,1.495167192,EBF,2,detectable,detectable,1
AU-How,2.231040369,1.095223933,-1.427109469,-0.581014835,3.096510522,1.364665666,EBF,2,detectable,detectable,1
AU-Tum,1.594641135,0.683619369,-1.289770909,-0.66125411,2.074681718,1.239780459,EBF,2,detectable,detectable,1
ES-Agu,1.908264797,1.87497613,-1.003994148,-0.564671354,1.392454565,2.046690242,C3-NF,3,detectable,detectable,1
ES-LJu,2.800635599,2.347582319,-2.032062213,-1.390668363,2.898537011,3.06484613,C3-NF,3,detectable,detectable,1
US-ICt,2.805658885,2.173977797,-5.869882568,-2.52724626,4.110802791,3.936572768,C3-NF,3,detectable,detectable,1
US-KFS,1.626700762,0.839655863,-3.177350487,-1.581135031,2.805764495,1.996246946,C3-NF,3,detectable,detectable,1
CA-Oas,-0.606405863,-0.215022957,-1.802630592,-1.246354365,0.889866538,0.565752643,DBF,0,detectable,non-detectable,2
CH-Lae,-0.007581173,-0.001746042,-5.766215581,-2.500836956,3.442709044,1.464461544,DBF,0,detectable,non-detectable,2
DK-Sor,0.003299491,0.00098517,-1.527860974,-0.489653885,0.947877178,0.343891182,DBF,0,detectable,non-detectable,2
IT-Ro2,0.001335999,0.000769307,-3.101777285,-2.97303852,1.211937183,0.677160033,DBF,0,detectable,non-detectable,2
US-Ha1,0.004039312,0.001078404,-5.250470339,-1.87202536,2.43295393,1.141038487,DBF,0,detectable,non-detectable,2
US-MMS,-0.767417675,-0.181726846,-3.97306392,-2.212103649,2.937817456,0.978590139,DBF,0,detectable,non-detectable,2
US-MOz,0.008232899,0.003743902,-2.160863341,-0.96294952,1.614277132,0.648897869,DBF,0,detectable,non-detectable,2
US-Oho,-0.000170673,-5.11E-05,-3.030009097,-1.217138113,2.052580158,0.701409508,DBF,0,detectable,non-detectable,2
US-UMB,0.006427708,0.002787124,-4.648315771,-2.839398471,4.486498696,1.890807991,DBF,0,detectable,non-detectable,2
US-UMd,0.001559652,0.000728286,-1.572372084,-1.104208563,1.667530003,0.716669663,DBF,0,detectable,non-detectable,2
