index,delta_GPP_CO2,delta_Gc_CO2,delta_iWUE_CO2
CA-Cbo,1.009240627,-0.658367926,1.507167978
FR-Fon,0.800362353,-1.628348596,2.043631132
US-Syv,2.165475574,-0.801211269,1.923661846
BE-Bra,0.767826278,-0.364506322,1.157975491
CA-TP3,0.985482389,-0.735329366,1.786892347
CA-TP4,0.659156607,-0.079060703,0.50646237
CH-Dav,0.166620287,-0.473355604,0.531722538
FI-Hyy,0.46729144,-0.188390355,0.55621386
US-Ho1,1.057552958,-1.091649427,2.264063915
AU-DaS,0.823050273,-0.557100177,1.546283205
AU-Dry,0.930952194,-2.195643834,2.947649269
AU-How,0.543710018,-0.478052664,1.168307858
AU-Tum,0.915170667,-0.813851357,1.337093144
ES-Agu,2.212330785,-0.537572123,2.282132144
ES-LJu,1.969967053,-1.243053928,3.870563092
US-ICt,1.573958018,-1.91036032,4.240751423
US-KFS,1.115587993,-2.12824694,2.154398
CA-Oas,-0.04826684,-0.644058567,0.435876014
CH-Lae,0.254362742,-2.064652058,1.622015422
DK-Sor,0.407377148,-0.300502059,0.577044637
IT-Ro2,-0.067861956,-1.73192307,0.613421468
US-Ha1,0.114493454,-1.190850871,1.269775773
US-MMS,-0.205726269,-1.422001026,1.010512224
US-MOz,-0.129987209,-1.001097701,0.345895947
US-Oho,-0.015026644,-0.879024245,0.494568773
US-UMB,-0.257543322,-1.590595347,1.341418978
US-UMd,0.054521056,-0.63187304,0.997324813
US-WCr,-0.494772661,-2.237715972,1.417695213
CA-Ca1,0.021257454,-0.96917284,1.175410741
DE-Obe,-0.8600747,-3.073666545,1.380123046
DE-Tha,-0.033131114,-0.731305946,0.642747204
FI-Sod,-0.174297578,-2.949855447,0.98965398
IT-Lav,-0.267578916,-0.944229493,0.97754085
IT-Ren,-0.413581122,-0.222757073,-0.405411943
NL-Loo,0.041924769,-0.615884766,0.55837736
US-GLE,0.308132864,-0.771110204,1.621306549
US-Me2,0.320689333,-0.711735425,0.513308363
US-NC2,-0.764648064,-0.245435734,-1.040337043
US-Uaf,0.286906577,-1.265371036,0.69110856
AU-Whr,-0.504409062,-2.752328386,0.193201688
AU-Wom,0.160584562,-0.769052745,0.705753276
AT-Neu,-0.403979195,-1.881761129,2.219556812
CH-Cha,0.083818659,-2.667097512,2.169003128
DE-Gri,0.338324339,-0.305913022,0.328188823
DE-RuR,0.570525188,-1.197373075,1.589676249
IT-Tor,-0.306762777,-0.598755406,0.230084782
US-EML,0.527575282,-1.859626032,0.614658751
US-Var,-0.770745513,-1.786128347,-0.416943652
US-Whs,-0.450807283,-1.572980628,-0.353704805
AU-Stp,-0.558318842,-1.328617828,1.415314515
US-IB2,-0.248955058,-0.414955084,0.04796796
US-SRG,-0.668035759,-2.025975327,0.921168419
US-SRM,-0.367880128,-0.577295698,-0.637914942
US-Wkg,0.309958493,-0.829054087,2.246790864
BE-Vie,-0.146812331,0.206384732,-0.229088864
IT-Col,-0.215341605,-0.044749513,-1.055441844
US-Ton,0.433376289,-0.268621765,-0.862760082
IL-Yat,-0.113571845,-0.207610189,-0.237349147
RU-Fyo,-0.12257771,-0.315818163,-0.048255655
US-NR1,-0.173680082,-0.225274731,-0.446673116
BR-Sa1,-0.18079,0.000828,0.10735
GF-Guy,-0.330638,0.086434,-0.190643
US-Wjs,-0.058576795,0.330328997,-0.426075725
